model,accuracy,precision,recall,f1,roc_auc
baseline,0.5777852973521699,0.5777852973521699,1.0,0.7324004074848534,0.5
logistic_regression,0.8167667710007613,0.823978883023062,0.8683748169838946,0.8455945252352438,0.9019872006801115
random_forest,1.0,1.0,1.0,1.0,1.0
xgboost,0.9760172574232299,0.9783005771900344,0.9802342606149341,0.9792664643288113,0.997556274793897
